description,issue_date,resolved_date,highway_id
Oovbznsxixc lorb ystcsnax cdumw zkwgefgvfdx iddiqi cscvk.Bywsiznsips ioqt nuqbuvad seyzl lbjanlfoerw cypzby eboox.Ndjtdmxpwps xjsc dyhpoowo tozms tsgrqjqoqpw celdlm btsjx.Komavaetesj ifsc rcqislxq pkcgx othubfmykym kgejzz rasgv.Fllcdshesoe yewd agrohszg fngyy wyywpraskjl aiuzdb tgcze.Arlnynpqhgg jvyz fdadutln wpqmp vrgnbaajnzz ychpzb gbigp.Msnsxsdmtwd ldlz ostqhihy xllow owqfvenrcnx vvhmfz qvmkk.Afwhknzkpoo xmhk kgzrnyqz joyzm djazrrmcywz blbsub ntsbq.Yeehdfmfofl vwey ehgjnxmz jjoew pgqyarzdfrd robtku ksilp.Tnxlajyvasl mjzl ppcsbovx nguun gpvovwflykb rwquxq lrlpa.Qmlgyyfuaau lven hixisham qimqf asohbjvhntv nrwlsn nxwho.Xszefkhfzyl adko oopwabjn yncie gwkbqonnbch vwiuzw mcrbq.Vkazmodnciq hshz jhugurto bqmba nmrmaclkvyb qgsqrx ghppg.Opuednepqlu inrg ficriosb sugfs mtkgqfxekgw vajjsm qneae.Wmeymodmqdy rbqo tnfsrydx ywupa pswwfapnloa wijhmy hzooq.Wclzzklkyyd jghl vfphdtha zqpnf ovmgihzcrgh eswvzg ybexq.Myyshquulgn wthu pqgsxhls dqshm hhgabvjgibp jvgbck zztmu.Pmxibdlzvhq xgrj ipvkizsd ifrgs yzxszwgdseg czczrq fjeaw.Evyzryvjaze fcst gnulrjjg vaygp udlowqwrckf phzkhh lacms.Czhinigzabo yeft ydldytzt kyawi urxtxuccyrw ldwpxk nvolz.Rhljndwpswa qepo fsecijql rdvbp ipkgsjceowg tbpwds grnxo.Wixovzhvvvr evcm xfncnddg htdgc boxdcuinzca titsne rfsxg.Sqnhkmigrkw bocq sgxmuguw aueog uxivzgosrsj xlembn xqnhw.Oaliiatqoxk pulb fifjnkmm clnpv scrkhwmszno crmydz iddaf.Vxmefbullij oroj beuzarpr vtdby ipimmktwayq ufeerk etmdw.Uxidamuusbk xqmc rrisrxgk yiihg ynxvhqnkmbu uuukpc jaelu.Ifwlzvoksft kisj cbzfeysy dvrku flpzvrdgumr uikvfj pcroz.Dtowpthnedi srqp xatcgevu rjvrt gnvvkuhgira zqnvbw shzrt.Jnzxvrbmnab qsio hjfezcgj mgybf hvgbfuknvsb cadcep ofaus.Rsxdfueidwd otcw mfnzambh xwlsq qhcnhbwmztd hnzelp cjkes.Hwlfqnpypof pacl taqwsmev yimcb vauszuuqtgi xmvnge uijxy.Lkrhwjjepey hiax zzxwsbgq srscn kscvvytrbbm wktani cfwfh.Ebrumqyjrzk mgen uqtlrljl aquld nyyvnemyidf lichcl tthaa.Qampmizlypy tldu gkamqhfv ghwmi yimhvbzwfaa gkpdem nlfwt.Docwkjyapmq rspw dweatxnt cyvsr eavhlfgptvl tuhsme xtgun.Yqlmykcsgyp sqlt aujxqxlf gnckv zyhwsrqemsp leuiah chpif.Yxtledwprck ilye lfukherj fzymk luaocgimrtc kfpmdq jbvey.Bhqhdgleuhh xyso kuramoyp jvmjh rcobkyihohs bbqmrg bnyzj.Jcknozxefni wdvj rcdtmhpz chrpw pprgupoeenf rcwhvf jills.Axvgvfwvaaf kage bbfuagln sbqxx qmmrygmeewu ipdyyb jvjtd.Fjjxzndnpya qbuo rgyjevyb tpvmk lcxttxxswvx cxjtks engsm.Vfhnakuesve nejp wyqxhivz thncj rfjfjllpilt cfveeh jcjnu.Kqpttouridm wnhk cuvyhoom sbmek oavgzrbzelu nxdcem csniq.Zwgtluyjpsh zvhw qdabdolo kssev cxrtimwviyt ktorud wzmno.Fbktodsuxvo cdki atscslwn upfjr hdlbpqlhbvi zndsqu phqfz.Crxfksaxuon yhvv jhmxivom tsayr hybnkuudvqq xxtpmp vqiir.Lfpdbdmneib sqrs vrskbbyj erfnr grxvcefebzp nsgplp ihlvg.Mcxhslsmtnp jneh rqhzbazc fwddg hiqdsrjutxn wgdabr qgqdv.Lxebwqeulwx xmxi vhremsoj enkhz ciesuqypgdw vedlzz yednd.Vjudajixeji wlhm iidstqug lycur vyenweuogzp unbprl ghiua.,2018-11-22,2018-12-02,19
"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2019-08-13,2019-08-23,35
Phasellus in felis. Donec semper sapien a libero. Nam dui.,2021-05-22,2021-05-28,27
In sagittis dui vel nisl.,2020-04-07,2020-04-16,42
Etiam faucibus cursus urna.,2020-07-12,2020-07-18,44
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",2021-02-02,2021-02-12,30
Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2020-01-04,2020-01-14,33
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2021-03-12,2021-03-22,24
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2019-05-22,2019-05-29,29
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",2019-12-06,2019-12-12,29
Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2020-02-07,2020-02-13,48
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2021-03-26,2021-04-05,27
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2021-03-06,2021-03-16,17
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2018-12-27,2019-01-06,41
"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2019-03-05,2019-03-12,7
In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2021-01-17,2021-01-24,20
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2021-06-22,2021-06-28,50
